SalePrice,Gr Liv Area,Overall Qual
538000,3279,8
394432,1856,9
376162,2334,9
395192,1940,9
611657,2364,9
500000,2696,9
355000,2475,8
410000,3238,8
362500,2349,8
378500,2018,9
345000,2704,8
377500,1746,9
375000,2522,8
501837,2234,9
372500,2046,8
462000,2772,9
485000,3140,9
555000,2402,10
398800,2690,9
404000,2020,9
402861,2020,10
451950,2296,10
610000,2674,10
582933,2822,9
360000,1736,9
409900,2520,8
350000,2224,9
386250,2392,10
445000,2452,9
552000,2492,10
382500,2200,8
403000,2794,8
340000,2450,8
402000,2448,8
468000,2490,9
370878,1766,9
375000,2036,7
410000,2036,9
425000,1978,9
355000,2500,8
387000,1884,9
394617,1932,8
426000,2332,10
385000,2084,10
446261,2713,9
372402,1710,8
417500,2464,8
383000,1950,9
390000,2748,9
460000,2790,10
379000,2331,9
615000,2470,10
412500,2668,9
421250,2649,8
370000,2690,8
367294,1702,9
370967,1800,9
350000,2006,8
350000,2113,8
341000,2418,7
339750,2078,8
372500,2786,9
345000,2393,10
475000,2276,9
395039,1766,9
381000,3447,8
392500,1652,8
370000,1964,8
377426,1922,9
349265,2541,8
591587,2338,9
392000,1419,8
441929,2234,8
455000,2042,10
356000,1816,9
345474,2122,8
415298,2121,9
492000,2656,9
450000,2046,10
479069,2552,9
395000,1973,8
380000,2643,9
440000,1976,8
418000,2758,9
500067,2290,10
372000,1802,9
342000,2956,8
354000,2468,8
350000,2385,8
745000,4476,10
384500,2551,8
466500,2633,10
410000,3078,9
755000,4316,10
430000,3228,8
419005,1966,10
340000,2466,8
373000,2497,8
383970,2696,7
424870,2828,8
360000,2140,8
359100,3194,8
375000,1625,8
392000,1824,10
457347,2798,9
545224,3390,10
356383,2473,9
556581,2868,9
361919,2576,8
535000,2698,10
401179,2795,9
438780,2945,10
470000,2000,9
412083,2589,9
342643,2596,9
465000,2076,10
415000,1868,9
345000,2324,9
344133,2253,8
360000,1944,9
372397,1792,9
378000,1780,9
374000,1792,9
437154,2728,9
348000,2392,8
625000,3627,10
405000,2855,9
350000,2726,8
584500,3500,9
423000,2097,8
405749,2640,9
385000,1842,9
475000,3608,10
415000,3672,6
375000,1778,8
369900,2028,8
359900,1838,9
